Time,H2O,H+,OH-
4930,1999999800019698469586009,199980301530414591,199980301530414591
4940,1999999800020104289993838,199979895710006762,199979895710006762
4950,1999999800019313637730114,199980686362270486,199980686362270486
4960,1999999800017743451326115,199982256548674485,199982256548674485
4970,1999999800016605503172731,199983394496827869,199983394496827869
4980,1999999800016671362078761,199983328637921839,199983328637921839
4990,1999999800016338801644124,199983661198356476,199983661198356476
5000,1999999800015617772806792,199984382227193808,199984382227193808
5010,1999999800014914368313695,199985085631686905,199985085631686905
5020,1999999800015409243131341,199984590756869259,199984590756869259
5030,1999999800014710776422992,199985289223577608,199985289223577608
5040,1999999800014412898342834,199985587101657766,199985587101657766
5050,1999999800014128103024018,199985871896976582,199985871896976582
5060,1999999800013060103511965,199986939896488635,199986939896488635
5070,1999999800012012479938433,199987987520062167,199987987520062167
5080,1999999800012165248784824,199987834751215776,199987834751215776
5090,1999999800012717796675073,199987282203325527,199987282203325527
5100,1999999800012469052616759,199987530947383841,199987530947383841
5110,1999999800011828769759153,199988171230241447,199988171230241447
5120,1999999800010796790513778,199989203209486822,199989203209486822
5130,1999999800010580409973870,199989419590026730,199989419590026730
5140,1999999800010771780407690,199989228219592910,199989228219592910
5150,1999999800010959599030770,199989040400969830,199989040400969830
5160,1999999800011532814797507,199988467185203093,199988467185203093
5170,1999999800012095578207492,199987904421793108,199987904421793108
5180,1999999800012648624724769,199987351375275831,199987351375275831
