Time\ number,r1_2_000,r2_1_001,r1_2_000:=C1_1,r2_1_001:=C1_1,r2_2_100:=C1_1,rM_110:=C1_1,r1_1_120:=C1_1,r1_1_121:=C1_1,r3_2_130:=C1_1,r3_2_140:=C1_1,r2_2_150:=C1_1,r1_2_000::C1_1::M1_1,r2_1_001::C1_1::M1_1,r3_3_100::C1_1::M1_1,r2_2_110::C1_1::M1_1,rM_120::C1_1::M1_1,rM_130::C1_1::M1_1,Time\ Probability,r1_2_000,r2_1_001,r1_2_000:=C1_1,r2_1_001:=C1_1,r2_2_100:=C1_1,rM_110:=C1_1,r1_1_120:=C1_1,r1_1_121:=C1_1,r3_2_130:=C1_1,r3_2_140:=C1_1,r2_2_150:=C1_1,r1_2_000::C1_1::M1_1,r2_1_001::C1_1::M1_1,r3_3_100::C1_1::M1_1,r2_2_110::C1_1::M1_1,rM_120::C1_1::M1_1,rM_130::C1_1::M1_1
3300,10000000024754.0,75251,9999900031.0,69,1000,0,4898.0,5290.0,16,2,175,999999765.0,97,5000,4,0,6,3300,9.999999999e-11,7.524533771309176e-05,9.999999999e-11,6.899523932848632e-05,0.00958806895909459,0.04757094853640349,0.09090909090909091,0.09090909090909091,0.9663227509473057,0.05454647381993498,0.0002999100269919024,9.999999999e-11,0.0009690600117885652,3.1100895518744565e-05,0.0029910269192422734,0.8911127567189875,0.01782314224873245
3400,10000000025278.0,74731,9999900032.0,68,1000,0,5236.0,4955.0,11,2,185,999999749.0,98,5000,4,0,7,3400,9.999999999e-11,7.47254156949597e-05,9.999999999e-11,6.799537631441062e-05,0.009578681505977609,0.04757094853640349,0.09090909090909091,0.09090909090909091,0.9663027642162538,0.0555407387651687,0.0002999100269919024,9.999999999e-11,0.000979040540270535,3.201452642215182e-05,0.0029910269192422734,0.8911087528390927,0.017823119554063953
3500,10000000025865.0,74135,9999900032.0,68,1000,0,5411.0,4750.0,15,1,190,999999747.0,89,5000,3,0,9,3500,9.999999999e-11,7.412950440919063e-05,9.999999999e-11,6.799537631441062e-05,0.009569853017789157,0.04757094853640349,0.09090909090909091,0.09090909090909091,0.9662831746525719,0.053970293235963675,0.0002999100269919024,9.999999999e-11,0.0008892086043421354,3.288081337921412e-05,0.0029910269192422734,0.8911053699198227,0.017823101722150788
3600,10000000026465.0,73541,9999900033.0,67,1000,0,5105.0,5049.0,29,3,200,999999732.0,84,5000,2,0,11,3600,9.999999999e-11,7.353559211901999e-05,9.999999999e-11,6.699551130074285e-05,0.009560376932003527,0.04757094853640349,0.09090909090909091,0.09090909090909091,0.9662617550992215,0.055917336700112966,0.0002999100269919024,9.999999999e-11,0.0008392949922065466,3.3768792237116756e-05,0.0029910269192422734,0.8910995802360443,0.017823069299556293
3700,10000000027022.0,72981,9999900033.0,67,1000,0,4692.0,5441.0,0,0,208,999999718.0,86,5000,1,0,19,3700,9.999999999e-11,7.297567416232396e-05,9.999999999e-11,6.699551130074285e-05,0.009550910474782567,0.04757094853640349,0.09090909090909091,0.09090909090909091,0.9662392539486715,0.058728925155970044,0.0002999100269919024,9.999999999e-11,0.0008592610355094617,3.469236745052216e-05,0.0029910269192422734,0.8910943213110252,0.017823049845424616
3800,10000000027545.0,72455,9999900033.0,67,1000,0,4901.0,5233.0,0,2,220,999999700.0,85,5000,1,1,14,3800,9.999999999e-11,7.244975065331641e-05,9.999999999e-11,6.699551130074285e-05,0.009541640038193659,0.04757094853640349,0.09090909090909091,0.09090909090909091,0.9662168757015275,0.05371826149814766,0.0002999100269919024,9.999999999e-11,0.0008492781136034371,3.5590602501783554e-05,0.0029910269192422734,0.8910904864377704,0.017823019042188568
3900,10000000028104.0,71902,9999900034.0,66,1000,0,4880.0,5238.0,10,2,235,999999681.0,88,5000,1,1,16,3900,9.999999999e-11,7.189683047409526e-05,9.999999999e-11,6.599564428747704e-05,0.009531918155839553,0.0475709485364035,0.09090909090909091,0.09090909090909091,0.9661929287844171,0.053695293612598574,0.0002999100269919024,9.999999999e-11,0.0008792262808728319,3.652890570843363e-05,0.0029910269192422734,0.8910859359622592,0.017822993101788927
4000,10000000028596.0,71407,9999900034.0,66,1000,0,4843.0,5256.0,10,5,248,999999653.0,88,5000,1,0,13,4000,9.999999999e-11,7.14019014044264e-05,9.999999999e-11,6.599564428747704e-05,0.00952285338320399,0.0475709485364035,0.09090909090909091,0.09090909090909091,0.9661694708079797,0.05387114239306985,0.0002999100269919024,9.999999999e-11,0.0008792262808728319,3.738565447622696e-05,0.0029910269192422734,0.8910790610031185,0.017822947704282485
4100,10000000029096.0,70911,9999900034.0,66,1000,0,4916.0,5162.0,6,5,254,999999633.0,90,5000,1,0,7,4100,9.999999999e-11,7.090597198662046e-05,9.999999999e-11,6.599564428747704e-05,0.009513082078828,0.0475709485364035,0.09090909090909091,0.09090909090909091,0.9661435509178723,0.056749983512497534,0.0002999100269919024,9.999999999e-11,0.00089919072834449,3.8338066175684694e-05,0.0029910269192422734,0.8910758446348822,0.017822918518946795
4200,10000000029607.0,70394,9999900034.0,66,1000,0,4767.0,5280.0,1,7,261,999999610.0,96,5000,1,2,7,4200,9.999999999e-11,7.038904503356391e-05,9.999999999e-11,6.599564428747704e-05,0.009503153608241836,0.0475709485364035,0.09090909090909091,0.09090909090909091,0.9661164073226793,0.05759162303664923,0.0002999100269919024,9.999999999e-11,0.000959079283887468,3.9292727908979195e-05,0.0029910269192422734,0.8910713748576643,0.017822890954133974
