Time,A,B,C
7550,99071,9071,929
7560,99057,9057,943
7570,99055,9055,945
7580,99064,9064,936
7590,99056,9056,944
7600,99060,9060,940
7610,99069,9069,931
7620,99090,9090,910
7630,99084,9084,916
7640,99108,9108,892
7650,99120,9120,880
7660,99094,9094,906
7670,99082,9082,918
7680,99081,9081,919
7690,99067,9067,933
7700,99069,9069,931
7710,99092,9092,908
7720,99075,9075,925
7730,99100,9100,900
7740,99089,9089,911
7750,99108,9108,892
7760,99097,9097,903
7770,99089,9089,911
7780,99073,9073,927
7790,99092,9092,908
7800,99100,9100,900
7810,99090,9090,910
7820,99107,9107,893
7830,99110,9110,890
7840,99088,9088,912
7850,99072,9072,928
7860,99083,9083,917
7870,99083,9083,917
7880,99094,9094,906
7890,99100,9100,900
7900,99097,9097,903
7910,99086,9086,914
7920,99118,9118,882
7930,99108,9108,892
7940,99120,9120,880
7950,99105,9105,895
7960,99136,9136,864
7970,99115,9115,885
7980,99113,9113,887
7990,99106,9106,894
8000,99099,9099,901
8010,99092,9092,908
8020,99078,9078,922
8030,99079,9079,921
8040,99088,9088,912
8050,99086,9086,914
8060,99103,9103,897
8070,99099,9099,901
8080,99095,9095,905
8090,99103,9103,897
8100,99104,9104,896
8110,99106,9106,894
8120,99129,9129,871
8130,99118,9118,882
8140,99119,9119,881
8150,99109,9109,891
8160,99104,9104,896
8170,99138,9138,862
8180,99145,9145,855
8190,99166,9166,834
8200,99149,9149,851
8210,99139,9139,861
8220,99135,9135,865
8230,99111,9111,889
8240,99094,9094,906
8250,99118,9118,882
8260,99129,9129,871
8270,99115,9115,885
8280,99070,9070,930
8290,99085,9085,915
8300,99081,9081,919
8310,99083,9083,917
8320,99055,9055,945
8330,99087,9087,913
8340,99078,9078,922
8350,99081,9081,919
8360,99107,9107,893
8370,99089,9089,911
8380,99092,9092,908
8390,99099,9099,901
8400,99110,9110,890
8410,99095,9095,905
8420,99107,9107,893
8430,99092,9092,908
8440,99078,9078,922
8450,99064,9064,936
8460,99074,9074,926
8470,99071,9071,929
8480,99082,9082,918
8490,99067,9067,933
8500,99060,9060,940
8510,99046,9046,954
8520,99047,9047,953
8530,99065,9065,935
8540,99074,9074,926
8550,99083,9083,917
8560,99087,9087,913
8570,99118,9118,882
8580,99124,9124,876
8590,99133,9133,867
8600,99154,9154,846
8610,99137,9137,863
8620,99145,9145,855
8630,99143,9143,857
8640,99164,9164,836
8650,99162,9162,838
8660,99151,9151,849
8670,99115,9115,885
8680,99100,9100,900
8690,99099,9099,901
8700,99109,9109,891
8710,99129,9129,871
8720,99101,9101,899
8730,99082,9082,918
8740,99074,9074,926
8750,99076,9076,924
8760,99068,9068,932
8770,99071,9071,929
8780,99078,9078,922
8790,99050,9050,950
8800,99050,9050,950
8810,99047,9047,953
8820,99054,9054,946
8830,99067,9067,933
8840,99079,9079,921
8850,99098,9098,902
8860,99107,9107,893
8870,99099,9099,901
8880,99110,9110,890
8890,99127,9127,873
8900,99113,9113,887
8910,99105,9105,895
8920,99092,9092,908
8930,99104,9104,896
8940,99113,9113,887
8950,99123,9123,877
8960,99105,9105,895
8970,99117,9117,883
