Time\ number,r2_1_100,r1_2_200,Time\ Probability,r2_1_100,r1_2_200
3370,9092,920.0,3370,0.0009899390495969735,0.009900990099009901
3380,9107,902.0,3380,0.0009900887527398224,0.009900990099009901
3390,9078,929.0,3390,0.0009897993266231682,0.009900990099009901
3400,9090,914.0,3400,0.000989919089174537,0.009900990099009901
3410,9097,910.0,3410,0.000989988950649575,0.009900990099009901
3420,9124,885.0,3420,0.0009902584162474787,0.009900990099009901
3430,9114,901.0,3430,0.0009901586141911306,0.009900990099009901
3440,9113,893.0,3440,0.000990148633984399,0.009900990099009901
3450,9121,889.0,3450,0.0009902284756326681,0.009900990099009901
3460,9103,908.0,3460,0.000990048831906116,0.009900990099009901
3470,9093,915.0,3470,0.0009899490298078926,0.009900990099009901
3480,9089,920.0,3480,0.0009899091089630196,0.009900990099009901
3490,9099,913.0,3490,0.0009900089110692195,0.009900990099009901
3500,9101,908.0,3500,0.0009900288714880668,0.009900990099009901
3510,9105,903.0,3510,0.000990068792323368,0.009900990099009901
3520,9087,926.0,3520,0.0009898891485393868,0.009900990099009901
3530,9070,940.0,3530,0.0009897194849063033,0.009900990099009901
3540,9075,935.0,3540,0.0009897693859808397,0.009900990099009901
3550,9056,952.0,3550,0.0009895797618710812,0.009900990099009901
3560,9038,971.0,3560,0.000989400117911223,0.009900990099009901
3570,9073,935.0,3570,0.0009897494255516233,0.009900990099009901
3580,9042,962.0,3580,0.000989440038796775,0.009900990099009901
3590,9063,946.0,3590,0.0009896496233935776,0.009900990099009901
3600,9065,947.0,3600,0.000989669583826782,0.009900990099009901
3610,9066,944.0,3610,0.000989679564043085,0.009900990099009901
3620,9081,928.0,3620,0.0009898292672637025,0.009900990099009901
3630,9094,912.0,3630,0.0009899590100186121,0.009900990099009901
3640,9098,907.0,3640,0.0009899989308594969,0.009900990099009901
3650,9095,912.0,3650,0.0009899689902291323,0.009900990099009901
3660,9055,958.0,3660,0.0009895697816527838,0.009900990099009901
3670,9058,948.0,3670,0.000989599722307077,0.009900990099009901
3680,9073,935.0,3680,0.0009897494255516233,0.009900990099009901
3690,9071,937.0,3690,0.0009897294651216096,0.009900990099009901
3700,9062,946.0,3700,0.0009896396431766763,0.009900990099009901
