Time\ number,r2_2_100:=Cell_1,r1_1_200:=Cell_1,Time\ Probability,r2_2_100:=Cell_1,r1_1_200:=Cell_1
26600,22,200.0,26600,0.4736842105263158,0.999000999000999
26700,28,200.0,26700,0.4736842105263158,0.999000999000999
26800,21,201.0,26800,0.4736842105263158,0.999000999000999
26900,21,200.0,26900,0.4736842105263158,0.999000999000999
27000,22,201.0,27000,0.4736842105263158,0.999000999000999
27100,20,200.0,27100,0.4736842105263158,0.999000999000999
27200,22,200.0,27200,0.4736842105263158,0.999000999000999
27300,23,201.0,27300,0.4736842105263158,0.999000999000999
27400,20,200.0,27400,0.4736842105263158,0.999000999000999
27500,18,200.0,27500,0.4736842105263158,0.999000999000999
27600,18,200.0,27600,0.4736842105263158,0.999000999000999
27700,18,202.0,27700,0.4736842105263158,0.999000999000999
27800,21,200.0,27800,0.4736842105263158,0.999000999000999
27900,25,200.0,27900,0.4736842105263158,0.999000999000999
28000,19,200.0,28000,0.4736842105263158,0.999000999000999
28100,20,200.0,28100,0.4736842105263158,0.999000999000999
28200,24,200.0,28200,0.4736842105263158,0.999000999000999
28300,18,200.0,28300,0.4736842105263158,0.999000999000999
28400,23,200.0,28400,0.4736842105263158,0.999000999000999
28500,21,201.0,28500,0.4736842105263158,0.999000999000999
28600,20,201.0,28600,0.4736842105263158,0.999000999000999
28700,22,200.0,28700,0.4736842105263158,0.999000999000999
28800,22,200.0,28800,0.4736842105263158,0.999000999000999
28900,24,200.0,28900,0.4736842105263158,0.999000999000999
29000,22,201.0,29000,0.4736842105263158,0.999000999000999
29100,21,200.0,29100,0.4736842105263158,0.999000999000999
29200,18,200.0,29200,0.4736842105263158,0.999000999000999
29300,22,200.0,29300,0.4736842105263158,0.999000999000999
29400,24,200.0,29400,0.4736842105263158,0.999000999000999
29500,24,200.0,29500,0.4736842105263158,0.999000999000999
29600,22,200.0,29600,0.4736842105263158,0.999000999000999
29700,21,201.0,29700,0.4736842105263158,0.999000999000999
29800,23,201.0,29800,0.4736842105263158,0.999000999000999
29900,22,200.0,29900,0.4736842105263158,0.999000999000999
30000,21,200.0,30000,0.4736842105263158,0.999000999000999
30100,29,201.0,30100,0.4736842105263158,0.999000999000999
30200,23,200.0,30200,0.4736842105263158,0.999000999000999
30300,23,200.0,30300,0.4736842105263158,0.999000999000999
30400,23,200.0,30400,0.4736842105263158,0.999000999000999
30500,22,200.0,30500,0.4736842105263158,0.999000999000999
30600,24,200.0,30600,0.4736842105263158,0.999000999000999
30700,22,200.0,30700,0.4736842105263158,0.999000999000999
30800,16,200.0,30800,0.4736842105263158,0.999000999000999
30900,20,200.0,30900,0.4736842105263158,0.999000999000999
31000,22,200.0,31000,0.4736842105263158,0.999000999000999
31100,22,200.0,31100,0.4736842105263158,0.999000999000999
31200,20,200.0,31200,0.4736842105263158,0.999000999000999
31300,19,200.0,31300,0.4736842105263158,0.999000999000999
31400,23,200.0,31400,0.4736842105263158,0.999000999000999
31500,21,200.0,31500,0.4736842105263158,0.999000999000999
31600,24,200.0,31600,0.4736842105263158,0.999000999000999
31700,21,200.0,31700,0.4736842105263158,0.999000999000999
31800,22,200.0,31800,0.4736842105263158,0.999000999000999
31900,24,200.0,31900,0.4736842105263158,0.999000999000999
32000,25,200.0,32000,0.4736842105263158,0.999000999000999
32100,18,200.0,32100,0.4736842105263158,0.999000999000999
32200,22,200.0,32200,0.4736842105263158,0.999000999000999
32300,24,200.0,32300,0.4736842105263158,0.999000999000999
32400,25,200.0,32400,0.4736842105263158,0.999000999000999
32500,18,200.0,32500,0.4736842105263158,0.999000999000999
32600,22,200.0,32600,0.4736842105263158,0.999000999000999
32700,21,200.0,32700,0.4736842105263158,0.999000999000999
32800,23,200.0,32800,0.4736842105263158,0.999000999000999
32900,19,201.0,32900,0.4736842105263158,0.999000999000999
33000,19,200.0,33000,0.4736842105263158,0.999000999000999
33100,20,200.0,33100,0.4736842105263158,0.999000999000999
33200,21,200.0,33200,0.4736842105263158,0.999000999000999
33300,20,200.0,33300,0.4736842105263158,0.999000999000999
33400,20,200.0,33400,0.4736842105263158,0.999000999000999
33500,16,200.0,33500,0.4736842105263158,0.999000999000999
33600,23,201.0,33600,0.4736842105263158,0.999000999000999
33700,17,200.0,33700,0.4736842105263158,0.999000999000999
33800,25,200.0,33800,0.4736842105263158,0.999000999000999
33900,20,200.0,33900,0.4736842105263158,0.999000999000999
34000,21,202.0,34000,0.4736842105263158,0.999000999000999
34100,15,200.0,34100,0.4736842105263158,0.999000999000999
34200,20,200.0,34200,0.4736842105263158,0.999000999000999
34300,19,200.0,34300,0.4736842105263158,0.999000999000999
34400,18,200.0,34400,0.4736842105263158,0.999000999000999
34500,18,200.0,34500,0.4736842105263158,0.999000999000999
34600,21,200.0,34600,0.4736842105263158,0.999000999000999
34700,23,200.0,34700,0.4736842105263158,0.999000999000999
34800,26,200.0,34800,0.4736842105263158,0.999000999000999
34900,28,200.0,34900,0.4736842105263158,0.999000999000999
35000,20,200.0,35000,0.4736842105263158,0.999000999000999
35100,18,200.0,35100,0.4736842105263158,0.999000999000999
35200,23,200.0,35200,0.4736842105263158,0.999000999000999
35300,17,200.0,35300,0.4736842105263158,0.999000999000999
35400,19,200.0,35400,0.4736842105263158,0.999000999000999
35500,19,202.0,35500,0.4736842105263158,0.999000999000999
35600,25,201.0,35600,0.4736842105263158,0.999000999000999
35700,26,201.0,35700,0.4736842105263158,0.999000999000999
35800,27,200.0,35800,0.4736842105263158,0.999000999000999
35900,24,200.0,35900,0.4736842105263158,0.999000999000999
36000,23,201.0,36000,0.4736842105263158,0.999000999000999
36100,19,200.0,36100,0.4736842105263158,0.999000999000999
36200,22,201.0,36200,0.4736842105263158,0.999000999000999
36300,21,200.0,36300,0.4736842105263158,0.999000999000999
36400,23,200.0,36400,0.4736842105263158,0.999000999000999
36500,20,200.0,36500,0.4736842105263158,0.999000999000999
36600,22,200.0,36600,0.4736842105263158,0.999000999000999
36700,24,200.0,36700,0.4736842105263158,0.999000999000999
36800,22,200.0,36800,0.4736842105263158,0.999000999000999
36900,20,201.0,36900,0.4736842105263158,0.999000999000999
37000,22,200.0,37000,0.4736842105263158,0.999000999000999
37100,25,200.0,37100,0.4736842105263158,0.999000999000999
37200,24,200.0,37200,0.4736842105263158,0.999000999000999
37300,28,200.0,37300,0.4736842105263158,0.999000999000999
37400,26,201.0,37400,0.4736842105263158,0.999000999000999
37500,22,200.0,37500,0.4736842105263158,0.999000999000999
37600,25,201.0,37600,0.4736842105263158,0.999000999000999
37700,21,200.0,37700,0.4736842105263158,0.999000999000999
37800,24,200.0,37800,0.4736842105263158,0.999000999000999
37900,25,200.0,37900,0.4736842105263158,0.999000999000999
38000,16,201.0,38000,0.4736842105263158,0.999000999000999
38100,22,201.0,38100,0.4736842105263158,0.999000999000999
38200,23,200.0,38200,0.4736842105263158,0.999000999000999
38300,21,201.0,38300,0.4736842105263158,0.999000999000999
38400,23,201.0,38400,0.4736842105263158,0.999000999000999
38500,19,200.0,38500,0.4736842105263158,0.999000999000999
38600,23,200.0,38600,0.4736842105263158,0.999000999000999
38700,24,201.0,38700,0.4736842105263158,0.999000999000999
38800,21,200.0,38800,0.4736842105263158,0.999000999000999
38900,24,200.0,38900,0.4736842105263158,0.999000999000999
39000,23,200.0,39000,0.4736842105263158,0.999000999000999
39100,19,200.0,39100,0.4736842105263158,0.999000999000999
39200,26,200.0,39200,0.4736842105263158,0.999000999000999
39300,21,201.0,39300,0.4736842105263158,0.999000999000999
39400,21,200.0,39400,0.4736842105263158,0.999000999000999
39500,18,200.0,39500,0.4736842105263158,0.999000999000999
39600,24,201.0,39600,0.4736842105263158,0.999000999000999
39700,18,200.0,39700,0.4736842105263158,0.999000999000999
39800,18,200.0,39800,0.4736842105263158,0.999000999000999
39900,15,200.0,39900,0.4736842105263158,0.999000999000999
40000,23,200.0,40000,0.4736842105263158,0.999000999000999
40100,23,200.0,40100,0.4736842105263158,0.999000999000999
40200,21,200.0,40200,0.4736842105263158,0.999000999000999
40300,19,200.0,40300,0.4736842105263158,0.999000999000999
40400,19,201.0,40400,0.4736842105263158,0.999000999000999
40500,20,201.0,40500,0.4736842105263158,0.999000999000999
40600,18,200.0,40600,0.4736842105263158,0.999000999000999
40700,16,200.0,40700,0.4736842105263158,0.999000999000999
40800,16,200.0,40800,0.4736842105263158,0.999000999000999
40900,21,202.0,40900,0.4736842105263158,0.999000999000999
41000,20,200.0,41000,0.4736842105263158,0.999000999000999
41100,20,200.0,41100,0.4736842105263158,0.999000999000999
41200,14,200.0,41200,0.4736842105263158,0.999000999000999
41300,22,200.0,41300,0.4736842105263158,0.999000999000999
41400,20,200.0,41400,0.4736842105263158,0.999000999000999
41500,18,200.0,41500,0.4736842105263158,0.999000999000999
41600,19,200.0,41600,0.4736842105263158,0.999000999000999
41700,22,200.0,41700,0.4736842105263158,0.999000999000999
41800,21,200.0,41800,0.4736842105263158,0.999000999000999
41900,22,200.0,41900,0.4736842105263158,0.999000999000999
42000,22,200.0,42000,0.4736842105263158,0.999000999000999
42100,20,201.0,42100,0.4736842105263158,0.999000999000999
42200,21,200.0,42200,0.4736842105263158,0.999000999000999
42300,20,200.0,42300,0.4736842105263158,0.999000999000999
42400,21,200.0,42400,0.4736842105263158,0.999000999000999
42500,20,200.0,42500,0.4736842105263158,0.999000999000999
42600,24,200.0,42600,0.4736842105263158,0.999000999000999
42700,20,200.0,42700,0.4736842105263158,0.999000999000999
42800,23,200.0,42800,0.4736842105263158,0.999000999000999
42900,22,200.0,42900,0.4736842105263158,0.999000999000999
43000,21,200.0,43000,0.4736842105263158,0.999000999000999
43100,21,200.0,43100,0.4736842105263158,0.999000999000999
43200,21,200.0,43200,0.4736842105263158,0.999000999000999
43300,26,200.0,43300,0.4736842105263158,0.999000999000999
43400,22,200.0,43400,0.4736842105263158,0.999000999000999
43500,22,200.0,43500,0.4736842105263158,0.999000999000999
43600,22,200.0,43600,0.4736842105263158,0.999000999000999
43700,18,201.0,43700,0.4736842105263158,0.999000999000999
43800,19,201.0,43800,0.4736842105263158,0.999000999000999
43900,22,201.0,43900,0.4736842105263158,0.999000999000999
44000,23,200.0,44000,0.4736842105263158,0.999000999000999
44100,20,200.0,44100,0.4736842105263158,0.999000999000999
44200,24,200.0,44200,0.4736842105263158,0.999000999000999
44300,18,200.0,44300,0.4736842105263158,0.999000999000999
44400,28,201.0,44400,0.4736842105263158,0.999000999000999
44500,19,200.0,44500,0.4736842105263158,0.999000999000999
44600,19,200.0,44600,0.4736842105263158,0.999000999000999
44700,22,200.0,44700,0.4736842105263158,0.999000999000999
44800,24,200.0,44800,0.4736842105263158,0.999000999000999
44900,24,200.0,44900,0.4736842105263158,0.999000999000999
45000,17,200.0,45000,0.4736842105263158,0.999000999000999
45100,21,200.0,45100,0.4736842105263158,0.999000999000999
45200,20,200.0,45200,0.4736842105263158,0.999000999000999
45300,20,200.0,45300,0.4736842105263158,0.999000999000999
45400,25,200.0,45400,0.4736842105263158,0.999000999000999
45500,17,200.0,45500,0.4736842105263158,0.999000999000999
45600,23,201.0,45600,0.4736842105263158,0.999000999000999
45700,22,200.0,45700,0.4736842105263158,0.999000999000999
45800,18,200.0,45800,0.4736842105263158,0.999000999000999
45900,22,200.0,45900,0.4736842105263158,0.999000999000999
46000,22,200.0,46000,0.4736842105263158,0.999000999000999
46100,24,200.0,46100,0.4736842105263158,0.999000999000999
46200,22,200.0,46200,0.4736842105263158,0.999000999000999
46300,19,200.0,46300,0.4736842105263158,0.999000999000999
46400,21,200.0,46400,0.4736842105263158,0.999000999000999
46500,28,201.0,46500,0.4736842105263158,0.999000999000999
46600,21,200.0,46600,0.4736842105263158,0.999000999000999
46700,29,201.0,46700,0.4736842105263158,0.999000999000999
46800,16,200.0,46800,0.4736842105263158,0.999000999000999
46900,24,200.0,46900,0.4736842105263158,0.999000999000999
47000,27,200.0,47000,0.4736842105263158,0.999000999000999
47100,20,200.0,47100,0.4736842105263158,0.999000999000999
