Time,S,E,I,R
724,1239962,4566027,1869161,2324870
725,1243121,4564032,1869628,2323239
726,1242281,4565360,1867946,2324433
727,1245027,4563242,1868343,2323408
728,1247686,4561558,1868400,2322376
729,1246398,4562934,1867549,2323139
730,1248170,4562269,1867836,2321745
731,1250711,4560731,1867603,2320975
732,1250044,4560519,1867571,2321886
733,1247555,4563040,1866401,2323024
734,1248108,4563473,1865447,2322992
735,1250337,4562009,1865396,2322278
736,1248924,4563917,1863840,2323339
737,1248942,4565264,1863686,2322128
738,1249963,4565241,1863666,2321150
739,1251413,4564366,1862765,2321476
740,1253141,4563461,1861635,2321783
741,1252929,4563255,1861412,2322424
742,1252247,4564594,1859978,2323201
743,1252856,4565391,1858324,2323449
744,1251218,4567813,1856889,2324100
745,1254048,4565922,1857236,2322814
746,1252961,4567056,1856173,2323830
747,1254555,4566255,1855447,2323763
748,1253947,4567153,1854523,2324397
749,1254777,4566334,1854828,2324081
750,1255597,4565374,1854701,2324348
751,1256446,4565809,1853551,2324214
752,1255817,4566959,1852633,2324611
753,1256442,4567773,1851944,2323861
754,1253661,4570601,1850416,2325342
755,1254633,4569797,1849755,2325835
756,1254241,4571195,1849093,2325491
757,1253221,4572063,1848208,2326528
758,1251299,4574261,1847186,2327274
759,1251095,4574358,1846971,2327596
760,1251426,4573822,1847877,2326895
761,1252797,4573079,1846779,2327365
762,1251959,4573642,1847671,2326748
763,1254117,4572092,1848129,2325682
764,1255330,4571665,1848540,2324485
765,1255862,4572263,1846912,2324983
766,1257987,4570623,1847796,2323614
767,1256973,4571191,1847382,2324474
768,1258939,4569696,1848158,2323227
769,1258255,4571753,1848154,2321858
770,1258118,4572527,1849223,2320152
771,1256941,4573983,1848944,2320152
772,1258456,4573140,1848618,2319806
773,1256816,4575242,1847645,2320317
774,1258252,4574489,1847107,2320172
775,1259732,4574004,1847727,2318557
776,1259651,4574862,1848417,2317090
777,1260745,4574821,1848707,2315747
778,1263380,4573057,1848996,2314587
779,1262060,4574127,1847809,2316024
780,1263411,4573146,1848879,2314584
781,1262632,4574895,1848848,2313645
782,1263440,4574112,1849736,2312732
783,1263874,4573766,1849919,2312461
784,1264007,4572999,1849386,2313628
785,1262567,4574622,1848054,2314777
786,1262015,4575185,1847281,2315539
787,1262850,4574650,1848005,2314515
788,1263293,4573657,1848869,2314201
789,1262951,4575606,1849063,2312400
790,1262562,4576526,1848666,2312266
791,1260607,4578700,1847688,2313025
792,1262009,4577977,1848118,2311916
793,1262823,4577083,1849106,2311008
794,1261160,4578970,1849491,2310399
795,1262377,4577951,1850101,2309591
796,1264423,4576141,1850363,2309093
797,1263704,4576349,1849700,2310267
798,1262794,4576884,1849029,2311313
799,1260537,4579584,1847991,2311908
800,1259346,4580548,1849028,2311098
801,1258504,4581387,1847845,2312284
802,1257743,4582271,1847000,2313006
803,1260015,4579620,1848294,2312091
804,1260654,4579011,1847498,2312857
805,1261125,4578185,1848019,2312691
806,1261072,4577761,1848696,2312491
807,1263122,4575976,1849510,2311412
808,1263073,4575314,1850376,2311257
809,1260877,4578059,1848883,2312201
810,1260812,4579050,1848196,2311962
811,1260787,4579846,1847316,2312071
812,1260719,4578801,1848545,2311955
813,1259502,4579713,1848193,2312612
814,1260823,4578915,1848123,2312159
815,1261467,4578408,1848865,2311280
816,1262841,4577448,1848615,2311116
817,1263533,4577513,1848559,2310415
818,1263029,4578737,1847897,2310357
819,1264449,4577509,1849069,2308993
820,1263360,4579378,1849438,2307844
821,1263671,4579795,1848984,2307570
822,1265647,4578141,1849353,2306879
823,1266319,4578038,1848788,2306875
824,1266965,4578017,1848066,2306972
825,1267056,4578475,1848844,2305645
826,1267788,4578580,1849422,2304230
827,1266836,4578940,1848637,2305607
828,1265517,4579720,1848895,2305888
829,1265058,4579382,1849874,2305706
830,1264605,4580200,1850847,2304368
831,1265370,4580011,1849848,2304791
832,1267462,4577787,1850623,2304148
833,1265586,4579054,1850757,2304623
834,1263841,4580467,1849833,2305879
835,1262684,4581542,1849041,2306753
836,1263941,4580926,1849689,2305464
837,1265952,4579368,1849988,2304712
838,1266110,4578299,1849974,2305637
839,1264081,4579264,1849521,2307154
840,1264054,4578501,1849299,2308166
841,1262260,4580264,1848369,2309127
842,1260938,4581775,1847314,2309993
843,1261208,4580832,1847315,2310665
844,1259796,4581592,1848217,2310415
845,1259018,4582301,1848281,2310420
846,1260268,4581969,1848096,2309687
847,1259124,4582964,1847126,2310806
848,1261195,4581957,1846831,2310037
849,1260884,4581538,1846312,2311286
850,1262238,4580565,1846815,2310402
851,1261037,4581557,1845824,2311602
852,1259430,4582489,1845333,2312768
853,1256999,4584452,1844392,2314177
854,1256866,4585325,1844702,2313127
855,1257064,4586275,1844747,2311934
856,1257226,4585498,1844601,2312695
857,1258855,4585173,1844751,2311241
858,1258766,4586028,1845654,2309572
859,1258437,4587300,1846316,2307967
860,1257174,4588413,1846520,2307913
861,1258703,4587485,1846133,2307699
862,1258195,4587869,1845959,2307997
863,1258432,4586462,1846021,2309105
864,1261163,4583865,1846552,2308440
865,1263710,4581587,1847169,2307554
866,1263509,4582932,1845721,2307858
867,1261163,4585370,1845219,2308268
868,1260888,4584726,1846135,2308271
869,1261360,4585288,1845028,2308344
870,1260090,4586410,1844250,2309270
871,1262530,4584539,1844723,2308228
872,1260395,4586616,1843893,2309116
873,1259023,4587176,1843910,2309911
874,1259702,4587456,1843346,2309516
875,1260196,4586450,1843195,2310179
876,1259504,4587445,1842548,2310523
877,1258803,4588117,1841598,2311502
878,1256882,4590661,1840663,2311814
879,1258192,4590200,1840082,2311546
880,1258621,4589596,1841138,2310665
881,1258174,4590195,1840819,2310832
882,1258203,4591327,1841142,2309348
883,1258923,4590201,1841005,2309891
884,1256609,4592511,1840558,2310342
885,1257543,4591508,1841313,2309656
886,1257274,4591912,1840775,2310059
887,1255887,4592843,1841058,2310232
888,1256072,4593592,1841471,2308885
