Time\ number,r2_1_100,r2_1_200,r1_1_300,r1_1_400,Time\ Probability,r2_1_100,r2_1_200,r1_1_300,r1_1_400
375600,989,989,1012.0,989.0,375600,0.00010108977982325986,0.00010108977982325986,9.99990000099999e-06,9.99990000099999e-06
375700,984,984,1016.0,984.0,375700,0.00010158967848866555,0.00010158967848866555,9.99990000099999e-06,9.99990000099999e-06
375800,990,990,1010.0,990.0,375800,0.00010098980003019696,0.00010098980003019696,9.99990000099999e-06,9.99990000099999e-06
375900,991,991,1009.0,991.0,375900,0.00010088982021714009,0.00010088982021714009,9.99990000099999e-06,9.99990000099999e-06
376000,997,997,1003.0,997.0,376000,0.00010028994091892584,0.00010028994091892584,9.99990000099999e-06,9.99990000099999e-06
376100,999,999,1001.0,999.0,376100,0.0001000899809929026,0.0001000899809929026,9.99990000099999e-06,9.99990000099999e-06
376200,990,990,1010.0,990.0,376200,0.00010098980003019696,0.00010098980003019696,9.99990000099999e-06,9.99990000099999e-06
376300,997,997,1003.0,997.0,376300,0.00010028994091892584,0.00010028994091892584,9.99990000099999e-06,9.99990000099999e-06
376400,995,995,1005.0,995.0,376400,0.00010048990076497312,0.00010048990076497312,9.99990000099999e-06,9.99990000099999e-06
376500,993,993,1007.0,993.0,376500,0.00010068986053104453,0.00010068986053104453,9.99990000099999e-06,9.99990000099999e-06
376600,992,992,1008.0,992.0,376600,0.00010078984038408928,0.00010078984038408928,9.99990000099999e-06,9.99990000099999e-06
376700,990,990,1010.0,990.0,376700,0.00010098980003019696,0.00010098980003019696,9.99990000099999e-06,9.99990000099999e-06
376800,982,982,1018.0,982.0,376800,0.00010178963781487044,0.00010178963781487044,9.99990000099999e-06,9.99990000099999e-06
376900,991,991,1009.0,991.0,376900,0.00010088982021714009,0.00010088982021714009,9.99990000099999e-06,9.99990000099999e-06
377000,990,990,1010.0,990.0,377000,0.00010098980003019696,0.00010098980003019696,9.99990000099999e-06,9.99990000099999e-06
377100,984,984,1016.0,985.0,377100,0.00010158967848866555,0.00010158967848866555,9.99990000099999e-06,9.99990000099999e-06
377200,979,979,1021.0,979.0,377200,0.0001020895766542236,0.0001020895766542236,9.99990000099999e-06,9.99990000099999e-06
377300,976,976,1024.0,976.0,377300,0.00010238951531363188,0.00010238951531363188,9.99990000099999e-06,9.99990000099999e-06
377400,972,972,1028.0,972.0,377400,0.00010278943324626227,0.00010278943324626227,9.99990000099999e-06,9.99990000099999e-06
377500,974,974,1026.0,974.0,377500,0.00010258947431993479,0.00010258947431993479,9.99990000099999e-06,9.99990000099999e-06
377600,982,982,1018.0,982.0,377600,0.00010178963781487044,0.00010178963781487044,9.99990000099999e-06,9.99990000099999e-06
377700,982,982,1018.0,982.0,377700,0.00010178963781487044,0.00010178963781487044,9.99990000099999e-06,9.99990000099999e-06
377800,985,984,1015.0,985.0,377800,0.00010148969879557225,0.00010158967848866555,9.99990000099999e-06,9.99990000099999e-06
377900,992,992,1008.0,992.0,377900,0.00010078984038408928,0.00010078984038408928,9.99990000099999e-06,9.99990000099999e-06
378000,992,992,1008.0,992.0,378000,0.00010078984038408928,0.00010078984038408928,9.99990000099999e-06,9.99990000099999e-06
378100,995,995,1005.0,995.0,378100,0.00010048990076497312,0.00010048990076497312,9.99990000099999e-06,9.99990000099999e-06
378200,988,989,1012.0,989.0,378200,0.00010118975959632885,0.00010108977982325986,9.99990000099999e-06,9.99990000099999e-06
378300,989,989,1010.0,990.0,378300,0.00010108977982325986,0.00010108977982325986,9.99990000099999e-06,9.99990000099999e-06
378400,992,992,1008.0,992.0,378400,0.00010078984038408928,0.00010078984038408928,9.99990000099999e-06,9.99990000099999e-06
378500,988,988,1012.0,988.0,378500,0.00010118975959632885,0.00010118975959632885,9.99990000099999e-06,9.99990000099999e-06
378600,989,989,1011.0,989.0,378600,0.00010108977982325986,0.00010108977982325986,9.99990000099999e-06,9.99990000099999e-06
378700,988,988,1012.0,988.0,378700,0.00010118975959632885,0.00010118975959632885,9.99990000099999e-06,9.99990000099999e-06
378800,975,975,1025.0,975.0,378800,0.00010248949482678026,0.00010248949482678026,9.99990000099999e-06,9.99990000099999e-06
378900,967,967,1033.0,967.0,378900,0.00010328933021218909,0.00010328933021218909,9.99990000099999e-06,9.99990000099999e-06
379000,963,963,1037.0,963.0,379000,0.00010368924742504205,0.00010368924742504205,9.99990000099999e-06,9.99990000099999e-06
379100,977,977,1023.0,977.0,379100,0.00010228953578048966,0.00010228953578048966,9.99990000099999e-06,9.99990000099999e-06
379200,981,981,1019.0,981.0,379200,0.00010188961744798205,0.00010188961744798205,9.99990000099999e-06,9.99990000099999e-06
379300,980,980,1020.0,980.0,379300,0.00010198959706109978,0.00010198959706109978,9.99990000099999e-06,9.99990000099999e-06
379400,980,980,1020.0,980.0,379400,0.00010198959706109978,0.00010198959706109978,9.99990000099999e-06,9.99990000099999e-06
379500,974,974,1026.0,974.0,379500,0.00010258947431993479,0.00010258947431993479,9.99990000099999e-06,9.99990000099999e-06
