Time\ number,r1_2_200,r2_1_300,Time\ Probability,r1_2_200,r2_1_300
4510,1.99999909800052e+19,9019994802561,4510,9.999999999e-11,0.004489748646552147
4520,1.9999990960005472e+19,9041994569454,4520,9.999999999e-11,0.0045006498589352465
4530,1.9999990940005433e+19,9061994491967,4530,9.999999999e-11,0.004510559911446891
4540,1.999999092000521e+19,9079994789528,4540,9.999999999e-11,0.0045194789720054045
4550,1.999999090000514e+19,9101994832807,4550,9.999999999e-11,0.004530379670228961
4560,1.9999990880005018e+19,9119994981123,4560,9.999999999e-11,0.004539298301696852
4570,1.9999990860005126e+19,9141994793605,4570,9.999999999e-11,0.004550198451525642
4580,1.999999084000512e+19,9161994858397,4580,9.999999999e-11,0.004560107588060725
4590,1.99999908200051e+19,9179994897409,4590,9.999999999e-11,0.004569025632707308
4600,1.999999080000531e+19,9199994692767,4600,9.999999999e-11,0.004578934260933939
4610,1.9999990780005204e+19,9219994796328,4610,9.999999999e-11,0.004588842844589858
4620,1.9999990760005456e+19,9239994544833,4620,9.999999999e-11,0.004598751055085482
4630,1.9999990740005212e+19,9261994798157,4630,9.999999999e-11,0.004609650121355838
4640,1.9999990720005255e+19,9279994744765,4640,9.999999999e-11,0.004618567232559253
4650,1.999999070000526e+19,9301994677177,4650,9.999999999e-11,0.00462946570591122
4660,1.9999990680005194e+19,9319994805880,4660,9.999999999e-11,0.004638382552292475
4670,1.9999990660005347e+19,9341994633970,4670,9.999999999e-11,0.004649280540056486
4680,1.999999064000537e+19,9361994608915,4680,9.999999999e-11,0.004659187659582035
4690,1.999999062000549e+19,9381994478087,4690,9.999999999e-11,0.0046690945294967975
4700,1.9999990600005636e+19,9401994414191,4700,9.999999999e-11,0.004679001235356094
4710,1.99999905800056e+19,9421994488501,4710,9.999999999e-11,0.0046889078124674214
4720,1.9999990560005435e+19,9441994567010,4720,9.999999999e-11,0.004698814194457273
4730,1.999999054000545e+19,9459994549168,4730,9.999999999e-11,0.004707729725811434
4740,1.999999052000528e+19,9479994721363,4740,9.999999999e-11,0.004717635779537835
4750,1.999999050000538e+19,9501994619101,4750,9.999999999e-11,0.0047285320664247925
4760,1.9999990480005366e+19,9519994633065,4760,9.999999999e-11,0.004737447081139064
4770,1.999999046000573e+19,9541994225094,4770,9.999999999e-11,0.004748342782840685
4780,1.9999990440005853e+19,9559994148284,4780,9.999999999e-11,0.004757257397700053
4790,1.999999042000577e+19,9581994152689,4790,9.999999999e-11,0.004768152869885316
4800,1.999999040000578e+19,9601994286829,4800,9.999999999e-11,0.004778057702035957
4810,1.9999990380005777e+19,9621994205445,4810,9.999999999e-11,0.004787962230304559
4820,1.9999990360005796e+19,9639994206464,4820,9.999999999e-11,0.004796876173968906
4830,1.9999990340005806e+19,9659994196253,4830,9.999999999e-11,0.004806780362922254
4840,1.9999990320005505e+19,9679994495623,4840,9.999999999e-11,0.0048166845080489665
4850,1.9999990300005536e+19,9701994391783,4850,9.999999999e-11,0.004827578625516176
4860,1.999999028000551e+19,9719994493506,4860,9.999999999e-11,0.004836491909389425
4870,1.9999990260005577e+19,9739994424457,4870,9.999999999e-11,0.004846395280722025
4880,1.9999990240005628e+19,9759994374264,4880,9.999999999e-11,0.004856298464286408
4890,1.9999990220005528e+19,9781994498240,4890,9.999999999e-11,0.004867191827281825
4900,1.9999990200005407e+19,9801994632487,4900,9.999999999e-11,0.004877094688265246
