Time,A,B,S
8820,3148,0,100006853
8830,3167,0,100006834
8840,3180,0,100006821
8850,3200,0,100006801
8860,3194,0,100006807
8870,3157,0,100006844
8880,3162,0,100006839
8890,3141,0,100006860
8900,3143,0,100006858
8910,3157,0,100006844
8920,3157,0,100006844
8930,3165,0,100006836
8940,3144,0,100006857
8950,3160,0,100006841
8960,3167,0,100006834
8970,3115,0,100006886
8980,3090,0,100006911
8990,3050,0,100006951
9000,3053,0,100006948
9010,3054,0,100006947
9020,3054,0,100006947
9030,3032,0,100006969
9040,3003,0,100006998
9050,2989,0,100007012
9060,2979,0,100007022
9070,2994,0,100007007
9080,2969,0,100007032
9090,2980,0,100007021
9100,2966,0,100007035
9110,2974,0,100007027
9120,2950,0,100007051
9130,2957,0,100007044
9140,2969,0,100007032
9150,2942,0,100007059
9160,2912,0,100007089
9170,2948,0,100007053
9180,2939,0,100007062
9190,2905,0,100007096
9200,2908,0,100007093
9210,2840,0,100007161
9220,2841,0,100007160
9230,2849,0,100007152
9240,2868,0,100007133
9250,2843,0,100007158
9260,2854,0,100007147
9270,2856,0,100007145
9280,2831,0,100007170
9290,2782,0,100007219
9300,2782,0,100007219
9310,2743,0,100007258
9320,2746,0,100007255
9330,2766,0,100007235
9340,2752,0,100007249
9350,2751,0,100007250
9360,2753,0,100007248
9370,2779,0,100007222
9380,2771,0,100007230
9390,2753,0,100007248
9400,2775,0,100007226
9410,2758,0,100007243
9420,2747,0,100007254
9430,2753,0,100007248
9440,2766,0,100007235
9450,2778,0,100007223
9460,2716,0,100007285
9470,2662,0,100007339
9480,2642,0,100007359
9490,2662,0,100007339
9500,2670,0,100007331
9510,2659,0,100007342
9520,2656,0,100007345
9530,2638,0,100007363
9540,2626,0,100007375
9550,2645,0,100007356
9560,2650,0,100007351
9570,2682,0,100007319
9580,2681,0,100007320
9590,2655,0,100007346
9600,2622,0,100007379
9610,2613,0,100007388
9620,2634,0,100007367
9630,2617,0,100007384
9640,2613,0,100007388
9650,2616,0,100007385
9660,2587,0,100007414
9670,2606,0,100007395
9680,2580,0,100007421
9690,2581,0,100007420
9700,2610,0,100007391
9710,2586,0,100007415
9720,2598,0,100007403
9730,2567,0,100007434
9740,2554,0,100007447
9750,2528,0,100007473
9760,2553,0,100007448
9770,2509,0,100007492
9780,2504,0,100007497
9790,2477,0,100007524
9800,2468,0,100007533
9810,2453,0,100007548
9820,2420,0,100007581
9830,2414,0,100007587
9840,2377,0,100007624
9850,2369,0,100007632
9860,2312,0,100007689
9870,2331,0,100007670
9880,2354,0,100007647
9890,2364,0,100007637
9900,2345,0,100007656
9910,2326,0,100007675
9920,2354,0,100007647
9930,2321,0,100007680
9940,2327,0,100007674
9950,2338,0,100007663
9960,2352,0,100007649
9970,2360,0,100007641
9980,2354,0,100007647
9990,2363,0,100007638
10000,2357,0,100007644
10010,2384,0,100007617
10020,2382,0,100007619
10030,2369,0,100007632
10040,2368,0,100007633
10050,2384,0,100007617
10060,2396,0,100007605
10070,2379,0,100007622
10080,2398,0,100007603
10090,2391,0,100007610
10100,2383,0,100007618
10110,2374,0,100007627
10120,2366,0,100007635
10130,2377,0,100007624
10140,2377,0,100007624
10150,2400,0,100007601
10160,2397,0,100007604
10170,2388,0,100007613
10180,2428,0,100007573
10190,2450,0,100007551
10200,2468,0,100007533
10210,2434,0,100007567
10220,2425,0,100007576
10230,2397,0,100007604
10240,2385,0,100007616
10250,2421,0,100007580
10260,2410,0,100007591
10270,2407,0,100007594
10280,2391,0,100007610
10290,2439,0,100007562
10300,2410,0,100007591
10310,2413,0,100007588
10320,2459,0,100007542
10330,2468,0,100007533
10340,2469,0,100007532
10350,2457,0,100007544
10360,2474,0,100007527
10370,2459,0,100007542
10380,2420,0,100007581
10390,2396,0,100007605
10400,2420,0,100007581
10410,2431,0,100007570
10420,2495,0,100007506
10430,2526,0,100007475
10440,2548,0,100007453
10450,2541,0,100007460
10460,2545,0,100007456
10470,2567,0,100007434
10480,2576,0,100007425
10490,2578,0,100007423
10500,2532,0,100007469
10510,2550,0,100007451
10520,2561,0,100007440
10530,2557,0,100007444
10540,2564,0,100007437
10550,2593,0,100007408
10560,2594,0,100007407
10570,2589,0,100007412
10580,2579,0,100007422
10590,2558,0,100007443
10600,2549,0,100007452
10610,2530,0,100007471
10620,2544,0,100007457
10630,2573,0,100007428
10640,2592,0,100007409
10650,2575,0,100007426
10660,2564,0,100007437
10670,2564,0,100007437
10680,2544,0,100007457
10690,2565,0,100007436
10700,2551,0,100007450
10710,2524,0,100007477
10720,2499,0,100007502
10730,2514,0,100007487
10740,2514,0,100007487
10750,2454,0,100007547
10760,2451,0,100007550
10770,2416,0,100007585
10780,2395,0,100007606
10790,2351,0,100007650
10800,2330,0,100007671
10810,2338,0,100007663
10820,2341,0,100007660
10830,2353,0,100007648
10840,2364,0,100007637
10850,2378,0,100007623
10860,2400,0,100007601
10870,2408,0,100007593
10880,2395,0,100007606
10890,2357,0,100007644
10900,2343,0,100007658
10910,2315,0,100007686
10920,2318,0,100007683
10930,2328,0,100007673
10940,2314,0,100007687
10950,2319,0,100007682
10960,2327,0,100007674
10970,2312,0,100007689
10980,2320,0,100007681
10990,2301,0,100007700
11000,2278,0,100007723
11010,2256,0,100007745
11020,2250,0,100007751
11030,2245,0,100007756
11040,2213,0,100007788
11050,2191,0,100007810
11060,2224,0,100007777
11070,2201,0,100007800
11080,2221,0,100007780
11090,2213,0,100007788
11100,2212,0,100007789
11110,2240,0,100007761
11120,2231,0,100007770
11130,2193,0,100007808
11140,2192,0,100007809
11150,2159,0,100007842
11160,2184,0,100007817
11170,2220,0,100007781
11180,2244,0,100007757
11190,2222,0,100007779
11200,2217,0,100007784
11210,2226,0,100007775
11220,2235,0,100007766
11230,2245,0,100007756
11240,2242,0,100007759
11250,2228,0,100007773
11260,2209,0,100007792
11270,2221,0,100007780
11280,2262,0,100007739
11290,2220,0,100007781
11300,2208,0,100007793
11310,2221,0,100007780
11320,2224,0,100007777
11330,2242,0,100007759
11340,2227,0,100007774
11350,2219,0,100007782
11360,2209,0,100007792
11370,2216,0,100007785
11380,2194,0,100007807
11390,2194,0,100007807
11400,2183,0,100007818
11410,2186,0,100007815
11420,2180,0,100007821
11430,2162,0,100007839
11440,2184,0,100007817
11450,2167,0,100007834
11460,2180,0,100007821
11470,2199,0,100007802
11480,2203,0,100007798
11490,2199,0,100007802
11500,2195,0,100007806
11510,2196,0,100007805
