Time,N,P
86300,1397667697,280623559
86400,1395136911,281737278
86500,1392596277,282849894
86600,1390046102,283957522
86700,1387486999,285062953
86800,1384913454,286162576
86900,1382331713,287259613
87000,1379735034,288357276
87100,1377130282,289452349
87200,1374519820,290540888
87300,1371898712,291626143
87400,1369266831,292709487
87500,1366624860,293787707
87600,1363975382,294860332
87700,1361313057,295930100
87800,1358644579,296995653
87900,1355967248,298058684
88000,1353278420,299117107
88100,1350582963,300167441
88200,1347874650,301215451
88300,1345151566,302264613
88400,1342429485,303299048
88500,1339694795,304335407
88600,1336955870,305365939
88700,1334208743,306390290
88800,1331451233,307404850
88900,1328690232,308418131
89000,1325921274,309424629
89100,1323139350,310432211
89200,1320349914,311435571
89300,1317559440,312425556
89400,1314756425,313418126
89500,1311945584,314405264
89600,1309128111,315383247
89700,1306306633,316352784
89800,1303480110,317316284
89900,1300644766,318272966
90000,1297805566,319225768
90100,1294955744,320172419
90200,1292100695,321114602
90300,1289243491,322048501
90400,1286381281,322974399
90500,1283513845,323895496
90600,1280635121,324814680
90700,1277751966,325723160
90800,1274864246,326629065
90900,1271975554,327522089
91000,1269075368,328409331
91100,1266176403,329290221
91200,1263269833,330164319
91300,1260361500,331031128
91400,1257448469,331887594
91500,1254529440,332738636
91600,1251608756,333583340
91700,1248686106,334419462
91800,1245757378,335244616
91900,1242825781,336064288
92000,1239891391,336875659
92100,1236955027,337680619
92200,1234010295,338478607
92300,1231066311,339269656
92400,1228120311,340048490
92500,1225172337,340818868
92600,1222224166,341574952
92700,1219269373,342332159
92800,1216315130,343081189
92900,1213354030,343824331
93000,1210395080,344552771
93100,1207433613,345271970
93200,1204470028,345984889
93300,1201507768,346686154
93400,1198546109,347377822
93500,1195578990,348064000
93600,1192613859,348740232
93700,1189649494,349405864
93800,1186680838,350062986
93900,1183708463,350715141
94000,1180744292,351350813
94100,1177775513,351981862
94200,1174810136,352600503
94300,1171843297,353210113
94400,1168880985,353808953
94500,1165918158,354398899
94600,1162952360,354982491
94700,1159986855,355557318
94800,1157026371,356116249
94900,1154067568,356665926
95000,1151109388,357211036
95100,1148156776,357737553
95200,1145196612,358266342
95300,1142238401,358780078
95400,1139285254,359284424
95500,1136330917,359777630
95600,1133383220,360264085
95700,1130435245,360741506
95800,1127488375,361206609
95900,1124544625,361664510
96000,1121601668,362112959
96100,1118663073,362551925
96200,1115729905,362976804
96300,1112800160,363391557
96400,1109867999,363799988
96500,1106938177,364196998
96600,1104017706,364581562
96700,1101103287,364954983
96800,1098185683,365317681
96900,1095271532,365671277
97000,1092364062,366013905
97100,1089460564,366347745
97200,1086560791,366673933
97300,1083662692,366987112
97400,1080772670,367282250
97500,1077885573,367574345
97600,1075000797,367857984
97700,1072122826,368130691
97800,1069254146,368389244
97900,1066389360,368636217
98000,1063526022,368872746
98100,1060669317,369100325
98200,1057817768,369316080
98300,1054973759,369521836
98400,1052133118,369717758
98500,1049297470,369907179
98600,1046470348,370081357
98700,1043647201,370247392
98800,1040830021,370403277
98900,1038019401,370552626
99000,1035210088,370697138
99100,1032406327,370822729
99200,1029616687,370938042
99300,1026827430,371042849
99400,1024044819,371136902
99500,1021269154,371223894
99600,1018504088,371299461
99700,1015745798,371359059
99800,1012990939,371410583
99900,1010243407,371457546
100000,1007506702,371489377
100100,1004774531,371511867
100200,1002051683,371523650
100300,999336958,371523209
100400,996627634,371512943
100500,993926114,371492975
100600,991230938,371461897
100700,988546225,371423326
100800,985871563,371369999
100900,983201033,371309501
101000,980537788,371241612
101100,977879561,371166667
101200,975231852,371077782
101300,972593097,370982246
101400,969959837,370876250
101500,967334423,370759394
101600,964718101,370633168
101700,962108561,370500494
101800,959512688,370354652
101900,956926811,370193065
102000,954346360,370027763
102100,951774268,369851860
102200,949214185,369666992
102300,946661673,369475273
102400,944117274,369276803
102500,941582924,369056974
102600,939055579,368835399
102700,936533709,368609339
102800,934021340,368372434
102900,931519790,368122590
103000,929026370,367862666
103100,926543967,367596997
103200,924075487,367314610
103300,921607096,367034611
