Time,Hb,O2,Hb-O2,Hb-(O2)2,Hb-(O2)3,Hb-(O2)4
4140,179762376,960859593047,45057276,2350946,669823,9772159579
4150,178043953,960851306321,44627152,2314898,619257,9774394740
4160,176340609,960843192648,44204586,2332688,551078,9776571039
4170,174652777,960835154647,43782332,2291379,613785,9778659727
4180,172982390,960827136434,43363950,2316399,482226,9780855035
4190,171329020,960819183385,42949003,2266717,486862,9782968398
4200,169689798,960811451933,42541304,2255652,557525,9784955721
4210,168069728,960803691711,42131608,2223198,571579,9787003887
4220,166463779,960796096101,41730549,2236994,575350,9788993328
4230,164873307,960788417862,41331835,2193846,541437,9791059575
4240,163299531,960780917456,40935082,2147418,619250,9792998719
4250,161736989,960773417844,40547191,2134469,559377,9795021974
4260,160192432,960765997948,40156274,2158120,443158,9797050016
4270,158661440,960758677422,39773295,2117295,477187,9798970783
4280,157145612,960751385755,39392175,2084244,458294,9800919675
4290,155643987,960744230525,39017786,2019466,562287,9802756474
4300,154157949,960737073861,38644353,2039244,430518,9804727936
4310,152685396,960730030044,38274582,2038307,388100,9806613615
4320,151224709,960723131068,37906628,2016136,480076,9808372451
4330,149780723,960716165005,37547566,1990070,419275,9810262366
4340,148351077,960709338537,37189478,1949418,466959,9812043068
4350,146933930,960702596009,36832194,1936544,490619,9813806713
4360,145530591,960695859919,36477300,1925342,454971,9815611796
4370,144139071,960689194834,36129488,1895616,458854,9817376971
4380,142762156,960682607598,35781719,1893086,427645,9819135394
4390,141395705,960676090624,35441438,1863863,455764,9820843230
4400,140044563,960669646744,35102077,1855470,451321,9822546569
4410,138704544,960663281589,34769117,1832803,490456,9824203080
4420,137380696,960656881088,34436235,1828259,393081,9825961729
4430,136067831,960650628684,34106442,1791221,455592,9827578914
4440,134768580,960644456831,33779557,1793985,455870,9829202008
4450,133482151,960638171837,33457348,1762935,345319,9830952247
4460,132205577,960632110466,33137805,1741495,391753,9832523370
4470,130941583,960626137320,32822797,1743169,416259,9834076192
4480,129689590,960620121998,32512187,1726276,374525,9835697422
4490,128449551,960614186195,32200759,1706672,372370,9837270648
4500,127221065,960608380802,31892782,1701099,415998,9838769056
4510,126006143,960602474199,31583418,1690248,318877,9840401314
4520,124802827,960596825278,31281338,1668726,432504,9841814605
4530,123610068,960591032755,30983641,1610863,419834,9843375594
4540,122427940,960585332413,30691405,1593342,359754,9844927559
4550,121258884,960579774477,30396777,1620449,307712,9846416178
4560,120099921,960574287852,30108573,1591598,379253,9847820655
4570,118952584,960568764965,29819019,1583724,330124,9849314549
4580,117817225,960563329985,29534761,1548112,360578,9850739324
4590,116693460,960557941989,29249021,1548874,323338,9852185307
4600,115578399,960552693175,28969668,1536260,398055,9853517618
4610,114474759,960547418953,28693706,1514348,410103,9854907084
4620,113381961,960542163896,28417371,1516283,351373,9856333012
4630,112298342,960537027525,28146278,1500162,394999,9857660219
4640,111226378,960531843133,27877341,1502374,300850,9859093057
4650,110162682,960526767029,27612437,1483874,311242,9860429765
4660,109110454,960521709099,27347755,1443108,337802,9861760881
4670,108068862,960516656618,27083702,1417345,295374,9863134717
4680,107037542,960511762364,26822699,1404933,334233,9864400593
4690,106015819,960506849238,26565603,1392888,303377,9865722313
4700,105001046,960502063523,26312738,1392804,335517,9866957895
4710,103996900,960497273506,26061661,1381574,337775,9868222090
