Time\ number,r2_1_100,r2_1_200,r2_1_300,r2_1_400,Time\ Probability,r2_1_100,r2_1_200,r2_1_300,r2_1_400
5100,71521138,17919710,1045913,284728,5100,0.0009594205000302451,0.004778763550820513,0.0876196947762681,0.32440231744961534
5110,70838613,17815381,943768,198496,5110,0.0009594172524488066,0.0047787462668093285,0.08761942393238678,0.3244016261279822
5120,70161435,17579543,929205,298489,5120,0.0009594138379550842,0.004778730966026175,0.08761916667549395,0.3244008527072643
5130,69489640,17414329,998927,250943,5130,0.0009594106794783798,0.004778715242497061,0.08761888864301937,0.32440016588536613
5140,68826260,17248972,905575,259266,5140,0.0009594074507197077,0.0047786987854832215,0.08761863255323821,0.3243994081560908
5150,68168297,17151408,901794,287266,5150,0.000959404521891676,0.004778683057926848,0.08761837439170253,0.32439868544206185
5160,67517172,16988165,973582,200831,5160,0.0009594014901134528,0.004778668159221221,0.08761809738514449,0.32439799249766127
5170,66872521,16824502,881969,186148,5170,0.0009593983316266894,0.004778652430747699,0.08761784618334684,0.3243972988064743
5180,66233462,16663022,868942,228633,5180,0.000959395376387355,0.004778637410501126,0.08761759361112864,0.3243965948473871
5190,65600541,16502846,884049,284795,5190,0.0009593922107642657,0.0047786224482854805,0.08761735513967389,0.32439590654617917
5200,64973123,16346497,863511,307302,5200,0.0009593893163550073,0.004778608088881617,0.08761710588713122,0.324395191529169
5210,64352911,16128833,928192,300568,5210,0.0009593863361895158,0.004778593994481374,0.08761684590775819,0.3243945096075411
5220,63736830,15977271,917019,243945,5220,0.0009593833467907486,0.004778579157340429,0.0876165966297975,0.32439382625541135
5230,63127825,15884976,834807,219561,5230,0.0009593805796568758,0.004778564036856515,0.08761635999419282,0.32439321210642874
5240,62526222,15732004,902673,171876,5240,0.0009593776579380258,0.004778550254090211,0.08761611134987299,0.32439252686906495
5250,61929539,15521611,825891,238376,5250,0.0009593746712120706,0.00477853609722956,0.08761589030745544,0.3243918612677751
5260,61337537,15435058,882710,193279,5260,0.0009593720108050732,0.004778521927155693,0.0876156399923285,0.32439125296732935
5270,60749943,15230923,799282,286136,5270,0.0009593690918518588,0.00477850840838203,0.08761542467998845,0.3243905856758127
5280,60168136,15087038,869525,207255,5280,0.0009593662524228217,0.0047784950286347385,0.08761518233835715,0.32438998263181756
5290,59593759,14942270,865497,169546,5290,0.0009593635707047281,0.004778481006178735,0.08761494754622082,0.32438936543863045
5300,59022801,14857430,780695,271834,5300,0.0009593609325668815,0.0047784668427493255,0.08761473796753126,0.3243887203531311
5310,58458628,14660226,775150,174847,5310,0.0009593580942306982,0.004778453826165152,0.08761450701907483,0.32438812863858163
5320,57900459,14519452,779416,228927,5320,0.0009593554219733821,0.004778440562256339,0.08761429026831317,0.32438750596526494
5330,57348399,14434313,830648,183389,5330,0.000959352995283202,0.004778427905646433,0.08761405497408446,0.3243868899440605
5340,56800637,14295023,832304,181276,5340,0.0009593503367594701,0.004778414716462636,0.0876138382891212,0.3243863238466034
5350,56258092,14156726,746274,255333,5350,0.0009593477274860914,0.0047784017757121315,0.08761363634522644,0.3243856862386423
5360,55721019,14021710,737736,189033,5360,0.000959345227134411,0.004778388748815504,0.08761341285137843,0.3243851298897413
5370,55188982,13833621,784188,209038,5370,0.0009593424778160949,0.004778376660974475,0.08761319880131285,0.3243845595828623
5380,54661867,13701746,794506,144986,5380,0.0009593400726514914,0.004778364383830319,0.0876129841934053,0.324383951454133
5390,54139768,13623992,784828,140896,5390,0.0009593375980992006,0.00477835152436606,0.08761277633865108,0.32438340790761344
5400,53621414,13444273,769973,228168,5400,0.0009593349769845077,0.00477833979412698,0.08761257922891079,0.3243828150026719
5410,53109682,13366477,762751,188234,5410,0.0009593327082996318,0.004778327265913594,0.0876123687211166,0.3243822933036611
5420,52602402,13239413,749255,169819,5420,0.0009593302650890835,0.004778315145801682,0.08761216500303327,0.3243817332794615
5430,52099215,13112381,678799,218817,5430,0.0009593279079192032,0.004778302807975095,0.08761197372293933,0.3243811567505366
5440,51602116,12938244,666216,182945,5440,0.0009593253702960372,0.004778291414775673,0.08761177620952913,0.3243806423500668
5450,51110752,12861770,673420,218183,5450,0.0009593231445645865,0.004778279470158655,0.08761158547677628,0.32438008131183815
5460,50622821,12690653,738281,163211,5460,0.0009593207237010539,0.004778268934801557,0.08761138406540336,0.32437956572087295
5470,50139774,12617173,667743,200217,5470,0.0009593185672255139,0.00477825650164144,0.08761119478370244,0.3243790213872001
5480,49660903,12448858,713092,213691,5480,0.000959316154936484,0.004778245987910689,0.0876110028198405,0.3243784833477511
5490,49186645,12328650,717926,199064,5490,0.0009593139627315745,0.004778234794071036,0.08761081084657424,0.32437796775891165
5500,48716254,12211377,698433,207911,5500,0.0009593116453202252,0.004778223596269265,0.08761062656027743,0.3243774522037484
5510,48249654,12095533,698328,204805,5510,0.0009593094319838975,0.004778212614780153,0.08761044196539845,0.3243769462406704
5520,47789124,12025623,687365,135640,5520,0.0009593073362436134,0.004778201396915986,0.08761024980684146,0.3243764539197259
5530,47332229,11865147,625691,219906,5530,0.0009593050085689533,0.004778190708029983,0.0876100831249178,0.32437596149193504
5540,46880336,11797791,618535,204895,5540,0.0009593030212962441,0.004778179722731801,0.08760989844457548,0.32437545537188156
5550,46432411,11640993,668894,157253,5550,0.0009593008382975882,0.004778169660602625,0.08760971217549927,0.3243749815038131
5560,45988813,11573662,600696,191535,5560,0.0009592987457181947,0.0047781582105176626,0.08760954190407717,0.3243744908995271
5570,45548095,11465058,603296,196055,5570,0.0009592965559714855,0.00477814791897124,0.08760937264569127,0.3243740269218206
5580,45112735,11311673,649582,140617,5580,0.0009592944893362262,0.004778138373003255,0.08760918694396956,0.32437355019013103
5590,44682587,11202082,639764,189849,5590,0.0009592924082497243,0.0047781280973534105,0.08760902167808365,0.3243730541074745
5600,44255718,11094969,630023,188273,5600,0.0009592903035635565,0.00477811795152381,0.08760885113768653,0.3243725965836837
5610,43832810,10987991,575456,206078,5610,0.0009592883142856415,0.004778107499912198,0.08760868965162058,0.3243721548463918
5620,43414344,10924327,576467,179654,5620,0.000959286365290322,0.0047780973649228335,0.08760852202012454,0.32437169534553706
5630,42999141,10777751,571224,148198,5630,0.0009592843607177773,0.004778087878971206,0.08760835422598776,0.32437125780229287
5640,42587105,10675363,562912,172412,5640,0.0009592823608681504,0.0047780782320735165,0.08760819200668268,0.3243707791159502
5650,42179435,10573407,612905,119989,5650,0.0009592804896583564,0.004778068668379792,0.08760801958844708,0.32437035895707045
5660,41777536,10470668,601863,202500,5660,0.0009592786270560175,0.004778059422061135,0.0876078642254085,0.3243698913143486
5670,41379386,10369950,534307,181088,5670,0.0009592765803973026,0.004778049264255391,0.0876077097521332,0.3243694691342275
5680,40984438,10272117,587059,163355,5680,0.0009592748005858821,0.004778040432530896,0.08760754514593617,0.32436901672497337
5690,40592781,10173379,583814,128623,5690,0.0009592729119794838,0.004778031058347406,0.08760738768127332,0.32436862619204804
5700,40205607,10114999,536053,122113,5700,0.0009592711216073404,0.004778021510133773,0.08760723835543972,0.32436820519810233
5710,39820316,9982024,580934,166325,5710,0.0009592692800515299,0.004778013033614943,0.08760708480165522,0.32436775475184093
5720,39440166,9922941,525789,138683,5720,0.0009592674836469637,0.004778003468379792,0.08760693499247882,0.32436737450718817
5730,39063099,9827987,563055,125769,5730,0.0009592657081831577,0.004777994686068874,0.08760677965046514,0.32436694969619434
5740,38689298,9734789,557001,123048,5740,0.0009592639224091541,0.004777985830700967,0.08760663079718752,0.32436654135836585
5750,38320013,9641601,501763,173134,5750,0.0009592621149358345,0.004777976782449383,0.08760649403220735,0.32436612809666654
5760,37953268,9550367,550948,113047,5760,0.0009592603787794885,0.00477796845054291,0.08760633874140644,0.3243657478401403
5770,37591563,9422316,489540,160943,5770,0.0009592585290892667,0.004777959675536069,0.08760620296480463,0.3243653386997327
5780,37232541,9331670,541222,110505,5780,0.0009592568910853302,0.004777951545422088,0.0876060516647309,0.3243649603255373
5790,36876455,9279280,529361,121143,5790,0.0009592552735790066,0.004777942925675595,0.08760590978667279,0.3243645639138961
5800,36524330,9155329,523000,106018,5800,0.000959253452785248,0.004777934879285512,0.08760577171525845,0.3243641740304208
5810,36176559,9066963,512351,120042,5810,0.0009592518353787217,0.004777926647425408,0.08760563008810102,0.32436379478372057
5820,35831528,8979548,511722,159162,5820,0.0009592501323287337,0.004777918480094089,0.08760549895685213,0.3243634081885588
5830,35489403,8891869,520695,91033,5830,0.0009592485681479358,0.004777910381822951,0.08760535762463528,0.32436304534228766
5840,35150565,8806758,509128,162023,5840,0.0009592469933395518,0.004777902422058587,0.08760522634929176,0.324362660708929
5850,34814259,8756698,505522,150279,5850,0.0009592454251624219,0.0047778942673107555,0.08760509206779805,0.3243622926403363
5860,34481441,8641921,462988,92353,5860,0.0009592437260907686,0.004777886206597734,0.08760496343545356,0.32436195687394537
5870,34151260,8559805,453205,111821,5870,0.0009592421565761984,0.004777878416876371,0.08760483242888278,0.324361599177574
5880,33825912,8477552,451983,137951,5880,0.0009592405882004351,0.00477787063148818,0.08760470525411161,0.32436123316521503
5890,33502637,8429197,491382,138629,5890,0.0009592391769677568,0.004777863270217882,0.08760457119281811,0.32436086480086035
5900,33182827,8349153,484150,134324,5900,0.0009592376435348508,0.004777855663093726,0.08760444332111712,0.3243605143895773
5910,32864644,8238780,480354,105106,5910,0.0009592360707625201,0.0047778483816746644,0.08760431547643542,0.3243601885064634
5920,32552094,8191050,432676,94938,5920,0.0009592346334070175,0.004777840390833404,0.0876041930635593,0.324359844889327
5930,32241337,8081275,467328,145825,5930,0.0009592330801831201,0.0047778335730666545,0.08760407210488573,0.32435948974227075
5940,31933174,8004765,427143,141557,5940,0.0009592315755947784,0.004777825902061864,0.08760395328420395,0.32435917195768005
5950,31627313,7958970,421040,109320,5950,0.0009592302044001528,0.004777818574541072,0.08760382627301716,0.3243588472825158
5960,31325211,7852266,421680,133250,5960,0.000959228720227579,0.004777811730090838,0.0876037111962084,0.3243584929104462
5970,31026592,7807199,414572,132863,5970,0.000959227363309517,0.004777804270699032,0.0876035893583217,0.32435817436600006
5980,30730336,7702127,409364,130460,5980,0.0009592258713618725,0.004777797590948444,0.08760347342759134,0.3243578415483365
5990,30437348,7627271,405396,140675,5990,0.0009592244343426941,0.004777790459222801,0.08760335734748682,0.3243575383562684
6000,30147448,7582696,398662,86506,6000,0.0009592231425055861,0.004777783414494748,0.0876032350738752,0.32435721764394904
6010,29859979,7481266,430916,141888,6010,0.0009592216692759677,0.004777777151319558,0.08760312392366916,0.3243568978806037
6020,29574246,7438477,388168,116007,6020,0.00095922039923398,0.004777769949230826,0.08760300866520514,0.3243565746768166
6030,29292173,7367170,422889,129434,6030,0.0009592190685744475,0.004777763515630712,0.08760289472068024,0.3243562696569489
6040,29012616,7296098,414680,95830,6040,0.0009592177280149312,0.004777756865563883,0.08760278037237958,0.32435597163966523
6050,28735426,7199946,405854,80418,6050,0.0009592163252349493,0.004777750341563645,0.08760266889423649,0.3243556711556748
6060,28460748,7132446,406919,97056,6060,0.0009592150400081208,0.0047777438351688795,0.08760256172625815,0.32435538635272754
6070,28188229,7091910,371164,126358,6070,0.0009592137360193344,0.004777737061952028,0.08760246135619869,0.32435508244335487
6080,27919706,6997038,398189,94015,6080,0.000959212488488079,0.004777731170260946,0.08760234643604936,0.3243547817109242
6090,27654014,6929681,394223,85626,6090,0.0009592112107518497,0.004777724828724273,0.08760224011220274,0.3243544895829633
6100,27390580,6889845,361473,107129,6100,0.0009592099841234298,0.004777718292704294,0.08760214011218864,0.3243541944215539
6110,27129185,6797075,395782,73780,6110,0.0009592086876182529,0.0047777124248535386,0.08760203199881633,0.3243539240728156
6120,26870995,6730537,391256,126373,6120,0.0009592074917167948,0.004777706371394074,0.08760193227347177,0.3243536314798547
6130,26614050,6666417,353802,107472,6130,0.0009592062165406347,0.004777700042574685,0.08760183330440478,0.3243533476450187
6140,26359937,6602937,386400,113477,6140,0.00095920497822266,0.004777694247151648,0.08760173067560911,0.32435307876164854
6150,26108744,6540309,383753,99796,6150,0.0009592037741389125,0.004777688248875854,0.08760162985733105,0.3243528023745882
6160,25859281,6502787,349737,97250,6160,0.0009592026528680647,0.004777682079159977,0.08760153338952398,0.3243525257487807
6170,25611679,6441428,370535,90364,6170,0.0009592015167527329,0.004777676444207317,0.08760142905351223,0.3243522661317037
6180,25368423,6379044,367020,113170,6180,0.0009592003427761364,0.004777670619763306,0.08760133357855124,0.3243519903152885
6190,25126180,6317642,338723,94280,6190,0.000959199151078582,0.004777664556056946,0.08760124122417294,0.32435173219032865
6200,24885677,6258418,330848,84326,6200,0.0009591980200554594,0.0047776589535468515,0.08760114242461375,0.3243514853998612
6210,24647607,6198781,353030,90163,6210,0.0009591969115630493,0.004777653454159219,0.08760104511540757,0.3243512202268207
6220,24412518,6139879,319290,77900,6220,0.0009591957233358193,0.004777647704356572,0.08760095519079018,0.32435096602992536
6230,24179752,6058441,346444,77426,6230,0.0009591945859329454,0.004777642467804233,0.08760086052431028,0.3243507128821086
